file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/MinX-EM/1000002/9008460.cif,Aluminum,Al,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000004/9011635.cif,Argon,Ar,"Henshaw, D.. G.., , Physical Review, 111, 1470–1475 (1958)."
/Volumes/Sajid's SSD/MinX-EM/1000005/9012729.cif,Barium,Ba,"Hirst, R.. G.., King, A.. J.., Kanda, F.. A.., The barium-strontium equilibrium system Sample: at T = 25 C, Journal of Physical Chemistry, 60, 302–304 (1956)."
/Volumes/Sajid's SSD/MinX-EM/1000006/9008488.cif,Beryllium,Be,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000007/9008490.cif,Cadmium,Cd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000010/9008465.cif,,Ce,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000009/9011033.cif,Calcium,Ca,"Bernstein, B.. T.., Smith, J.. F.., Coefficients of thermal expansion for face-centered cubic and body-centered cubic calcium Sample: at T = 26 C, Acta Crystallographica, 12, 419–420 (1959)."
/Volumes/Sajid's SSD/MinX-EM/1000011/9011011.cif,,Cs,"Barrett, C.. S.., X-ray study of the alkali metals at low temperatures Locality: synthetic Sample: at T = 78 K Note: lattice parameters are average of 6 values, Acta Crystallographica, 9, 671–677 (1956)."
/Volumes/Sajid's SSD/MinX-EM/1000012/5000220.cif,Chromium,Cr,"Swanson, H. E., Gilfrich, N. T., Ugrinic, G. M., Standard X-ray diffraction powder patterns, National Bureau of Standards (U.S.), Circular, 539, 5–5 (1955)."
/Volumes/Sajid's SSD/MinX-EM/1000014/9008466.cif,Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000013/9008492.cif,Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000015/9013014.cif,Copper,Cu,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
/Volumes/Sajid's SSD/MinX-EM/1000018/9008567.cif,Germanium,Ge,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000019/9013035.cif,Gold,Au,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
/Volumes/Sajid's SSD/MinX-EM/1000021/1200017.cif,Graphite 2H,C,"Hassel, O., Ueber die Kristallstruktur des Graphits, Zeitschrift fuer Physik, 25, 317–337 (1924)."
/Volumes/Sajid's SSD/MinX-EM/1000017/2101499.cif,,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
/Volumes/Sajid's SSD/MinX-EM/1000023/5000217.cif,Iron,Fe,"Owen, E. A., Williams, G. I., A low-temperature X-ray camera, Journal of Scientific Instruments, 31, 49–54 (1954)."
/Volumes/Sajid's SSD/MinX-EM/1000028/9008477.cif,Lead,Pb,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000029/2101845.cif,,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
/Volumes/Sajid's SSD/MinX-EM/1000034/9008506.cif,Magnesium,Mg,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000032/2101845.cif,,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
/Volumes/Sajid's SSD/MinX-EM/1000030/2101845.cif,,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
/Volumes/Sajid's SSD/MinX-EM/1000035/9008543.cif,Molybdenum,Mo,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
