file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/MinX-EQ/Shimazakiite/0_Shimazakiite_298.00_1.00_.cif,Shimazakiite,Ca₂ B₂ O₅,"Kusachi I., Kobayashi S., Takechi Y., Nakamuta Y., Nagase T., Yokoyama K., Momma K., Miyawaki R., Shigeoka M., Matsubara S., Shimazakiite-4M and shimazakiite-4O, Ca2B2O5, two polytypes of a new mineral from Fuka, Okayama Prefecture, Japan Note: polytype Shimazakiite-4M, Mineralogical Magazine, 77, 93–105 (2013)."
/Volumes/Sajid's SSD/MinX-EQ/Luneburgite/0_Luneburgite_298.00_1.00_.cif,Luneburgite,Mg₃ P₂ B₂ O₂₀ H₁₈,"Sen Gupta. P. K., Swihart G. H., Dimitrijevic R., Hossain M. B., The crystal structure of luneburgite, Mg3(H2O)6[B2(OH)6(PO4)2], American Mineralogist, 76, 1400–1407 (1991)."
/Volumes/Sajid's SSD/MinX-EQ/Biringuccite/0_Biringuccite_298.00_1.00_.cif,Biringuccite,Na₂ B₅ O₁₀ H₃,"Corazza E., Menchetti S., Sabelli C., The crystal structure of biringuccite, Na4[B10O16(OH)2].2H2O, American Mineralogist, 59, 1005–1015 (1974)."
/Volumes/Sajid's SSD/MinX-EQ/Glikinite/0_Glikinite_298.00_1.00_.cif,Glikinite,Zn₃ S₂ O₉,"Nazarchuk E. V., Siidra O. I., Nekrasova D. O., Shilovskikh V. V., Borisov A. S., Avdontseva E. Y., Glikinite, Zn3O(SO4)2, a new anhydrous zinc oxysulfate mineral structurally based on OZn4 tetrahedra, Mineralogical Magazine, 84, 563–567 (2020)."
/Volumes/Sajid's SSD/MinX-EQ/Barite/0_Barite_298.00_1.00_.cif,Barite,Ba S O₄,"Colville A. A., Staudhammer K., A refinement of the structure of barite, American Mineralogist, 52, 1877–1880 (1967)."
/Volumes/Sajid's SSD/MinX-EQ/Diamond/0_Diamond_298.00_1.00_.cif,Diamond,C,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Frolovite/0_Frolovite_298.00_1.00_.cif,Frolovite,Ca B₂ (O₈ H₈),"Egorov-Tismenko Y. K., Gushchina A. E., Shashkin D. N., Simonov M. A., Belov N. V., The crystal structure of frolovite CaB2O4(H2O)4 = Ca(B(OH)4)2, Doklady Akademii Nauk SSSR, 202, 78–80 (1972)."
/Volumes/Sajid's SSD/MinX-EQ/Berryite/0_Berryite_298.00_1.00_.cif,Berryite,Cu₃ Ag₂ Pb₃ Bi₇ S₁₆,"Topa D., Makovicky E., Putz H., Mumme W. G., The crystal structure of berryite, Cu3Ag2Pb3Bi7S16 Note: y-coordinates corrected by author, The Canadian Mineralogist, 44, 465–480 (2006)."
/Volumes/Sajid's SSD/MinX-EQ/Osmium/0_Osmium_298.00_1.00_.cif,Osmium,Os,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Trabzonite/0_Trabzonite_298.00_1.00_.cif,Trabzonite,Ca₄ Si₃ O₁₁ H₂,"Armbruster T., Lazic B., Galuskina I. O., Galuskin E. V., Gnos E., Marzec K. M., Gazeev V. M., Trabzonite, Ca4[Si3O9(OH)]OH: crystal structure, revised formula, new occurrence and relation to killalaite, Mineralogical Magazine, 76, 455–472 (2012)."
/Volumes/Sajid's SSD/MinX-EQ/Gurimite/0_Gurimite_298.00_1.00_.cif,Gurimite,Ba₃ V₂ O₈,"Susse P., Buerger M. J., The structure of Ba3(VO4)2, Zeitschrift fur Kristallographie, 131, 161–174 (1970)."
/Volumes/Sajid's SSD/MinX-EQ/Maucherite/0_Maucherite_298.00_1.00_.cif,Maucherite,Ni₁₁ As₈,"Fleet M. E., The crystal structure of maucherite (Ni11As8), American Mineralogist, 58, 203–210 (1973)."
/Volumes/Sajid's SSD/MinX-EQ/Daqingshanite-(Ce)/0_Daqingshanite-(Ce)_298.00_1.00_.cif,Daqingshanite-(Ce),Sr₃ Ce P C₃ O₁₃,"Hughes J. M., Yunxiang N., A high-precision crystal structure refinement of daqingshanite-(Ce) from Nkombwa Hill carbonatite, Zambia, Mineralogical Magazine, 58, 493–496 (1994)."
/Volumes/Sajid's SSD/MinX-EQ/Kamchatkite/0_Kamchatkite_298.00_1.00_.cif,Kamchatkite,K Cu₃ S₂ O₉ Cl,"Varaksina T. V., Fundamensky V. S., Filatov S. K., Vergasova L. P., The crystal structure of kamchatkite, a new naturally occuring oxychloride sulphate of potassium and copper, Mineralogical Magazine, 54, 613–616 (1990)."
/Volumes/Sajid's SSD/MinX-EQ/Winstanleyite/0_Winstanleyite_298.00_1.00_.cif,Winstanleyite,Ti Te₃ O₈,"Bindi L., Cipriani C., The crystal structure of winstanleyite, TiTe3O8, from the Grand Central Mine, Tombstone, Arizona, The Canadian Mineralogist, 41, 1469–1473 (2003)."
/Volumes/Sajid's SSD/MinX-EQ/Groatite/0_Groatite_298.00_1.00_.cif,Groatite,Na Ca Mn₂ P₃ O₁₂ H₂,"Cooper M. A., Hawthorne F. C., Ball N. A., Ramik R. A., Roberts A. C., Groatite, NaCaMn2(PO4)[PO3(OH)]2, a new mineral species of the alluaudite group from the Tanco Pegmatite, Bernic Lake, Manitoba, Canada: Description and crystal structure, The Canadian Mineralogist, 47, 1225–1235 (2009)."
/Volumes/Sajid's SSD/MinX-EQ/Lautarite/0_Lautarite_298.00_1.00_.cif,Lautarite,Ca I₂ O₆,"Ghose S., Wan C., The crystal structure of synthetic lautarite, Ca(IO3)2 Note: Biso(O1) corrected, Acta Crystallographica, Section B, 34, 84–88 (1978)."
/Volumes/Sajid's SSD/MinX-EQ/Liversidgeite/0_Liversidgeite_298.00_1.00_.cif,Liversidgeite,Zn₆ P₄ O₂₃ H₁₄,"Elliott P., Giester G., Libowitzky E., Kolitsch U., Description and crystal structure of liversidgeite, Zn6(PO4)4*7H2O, a new mineral from Broken Hill, New South Wales, Australia, American Mineralogist, 95, 397–404 (2010)."
/Volumes/Sajid's SSD/MinX-EQ/Spurrite/0_Spurrite_298.00_1.00_.cif,Spurrite,Ca₅ Si₂ C O₁₁,"Grice J. D., The structure of spurrite, tilleyite and scawtite, and relationships to other silicate-carbonate minerals, The Canadian Mineralogist, 43, 1489–1500 (2005)."
/Volumes/Sajid's SSD/MinX-EQ/Spryite/0_Spryite_30.00_1.00_.cif,Spryite,Ag₂₄ As₂ Ge S₁₈,"Bindi L., Morana M., Twinning, superstructure and chemical ordering in spryite, Ag8(As3+0.50As5+0.50)S6, at ultra-low temperature: An X-ray single-crystal study Note: T = 30 K, Minerals, 11,  (2021)."
/Volumes/Sajid's SSD/MinX-EQ/Minnesotaite/0_Minnesotaite_298.00_1.00_.cif,Minnesotaite,Fe₁₅ H₁₄ O₆₂ Si₂₀,"Jin S., Li X., Hobbs F., Guggenheim S., Xu H., Meifuite, a new ferrous phyllosilicate mineral with modulated tetrahedral sheets similar to minnesotaite, Clays and Clay Minerals, 69, 672–687 (2021)."
/Volumes/Sajid's SSD/MinX-EQ/Cinnabar/0_Cinnabar_298.00_1.00_.cif,Cinnabar,Hg S,"Ramsdell L. S., The crystal structures of some metallic sulfides, American Mineralogist, 10, 281–304 (1925)."
/Volumes/Sajid's SSD/MinX-EQ/Katoptrite/0_Katoptrite_298.00_1.00_.cif,Katoptrite,Mn₁₃ Sb₂ Al₄ Si₂ O₂₈,"Moore P. B., Araki T., Brunton G. D., Catoptrite, (Mn2+5Sb5+2)VI(Mn2+8Al4Si2)IVO28, a novel close-packed oxide sheet structure, Neues Jahrbuch fur Mineralogie, Abhandlungen, 127, 47–61 (1976)."
/Volumes/Sajid's SSD/MinX-EQ/Carminite/0_Carminite_298.00_1.00_.cif,Carminite,Pb As₂ Fe₂ O₁₀ H₂,"Finney J. J., The crystal structure of carminite, American Mineralogist, 48, 1–13 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Calcite/0_Calcite_298.00_1.00_.cif,Calcite,Ca C O₃,"Graf D. L., Crystallographic tables for the rhombohedral carbonates, American Mineralogist, 46, 1283–1316 (1961)."
/Volumes/Sajid's SSD/MinX-EQ/Edenharterite/0_Edenharterite_298.00_1.00_.cif,Edenharterite,Pb Tl As₃ S₆,"Balic-Zunic T., Engel P., Crystal structure of synthetic PbTlAs3S6, Zeitschrift fur Kristallographie, 165, 261–269 (1983)."
/Volumes/Sajid's SSD/MinX-EQ/Manganolangbeinite/0_Manganolangbeinite_298.00_1.00_.cif,Manganolangbeinite,K₂ Mn₂ S₃ O₁₂,"Oelkrug H., Bruckel T., Hohlwein D., Hoser A., Prandl W., The magnetic structure of the langbeinite K2Mn2(SO4)3, Physics and Chemistry of Minerals, 16, 246–249 (1988)."
/Volumes/Sajid's SSD/MinX-EQ/Serrabrancaite/0_Serrabrancaite_298.00_1.00_.cif,Serrabrancaite,Mn P O₅ H₂,"Lightfoot P., Cheetham A. K., Sleight A. W., Structure of MnPO4*H2O by synchrotron X-ray powder diffraction, Inorganic Chemistry, 26, 3544–3547 (1987)."
/Volumes/Sajid's SSD/MinX-EQ/Fluocerite-(Sm)/0_Fluocerite-(Sm)_298.00_1.00_.cif,Fluocerite-(Sm),Sm F₃,"Oftedal I., Ueber die Kristallstruktur von Tysonit und einigen kuenstlich dargestellten Lanthanidenfluoriden _cod_database_code 1010986, Zeitschrift fur Physikalische Chemie, 5, 272–292 (1929)."
/Volumes/Sajid's SSD/MinX-EQ/Vonbezingite/0_Vonbezingite_298.00_1.00_.cif,Vonbezingite,Cu₃ Ca₆ S₃ O₂₆,"Dai Y. S., Harlow G. E., Description and crystal structure of vonbezingite, a new Ca-Cu-SO4-H2O mineral from the Kalahari manganese field, South Africa, American Mineralogist, 77, 1292–1300 (1992)."
