mineral_name,formula,reference
Dickite,Si₂ Al₂ O₉ H₄,"Bish D. L., Johnston C. T., Rietveld refinement and Fourier-transform infrared spectroscopic study of the dickite structure at low temperature Note: Sample at T = 12 K, Clays and Clay Minerals, 41, 297–304 (1993)."
Rinneite,K₃ Na Fe Cl₆,"Figgis B. N., Sobolev A. N., Kucharski E. S., Broughton V., Rinneite, K3Na[FeCl6], at 293, 84 and 9.5 K Sample: T = 9.5 K, Acta Crystallographica, Section C, 56, e228–e229 (2000)."
Perovskite,Ca Ti O₃,"Liu X., Liebermann R. C., X-ray powder diffraction study of CaTiO3 perovskite at high temperatures Sample: T = 1273 K, Physics and Chemistry of Minerals, 20, 171–175 (1993)."
Pertoldite,Ge O₂,"Yamanaka T., Ogata K., Structure refinement of GeO2 polymorphs at high pressures and temperatures by energy-dispersive spectra of powder diffraction Note: P = 0.0001 GPa T = 293 K, Journal of Applied Crystallography, 24, 111–118 (1991)."
Borax,Na₂ B₄ O₁₇ H₂₀,"Gainsford G. J., Kemmitt T., Higham C., Redetermination of the borax structure from laboratory X-ray data at 145 K Note T = 145 K, Acta Crystallographica, Section E, 64, i24–i25 (2008)."
Stillwellite-(La),La B Si O₅,"Belokoneva E. L., Shuvaeva V. A., Antipin M. Yu., Leonyuk N. I., Crystal structure of a high-temperature modification of LaBSiO5, a synthetic analog of stillwellite Note: T = 273 K, Zhurnal Neorganicheskoi Khimii, 41, 1097–1101 (1996)."
Tuite,Ca₃ P₂ O₈,"Thompson R. M., Xie X., Zhai S., Downs R. T., Yang H., A comparison of the Ca3(PO4)2 and CaSiO3 systems, with a new structure refinement of tuite synthesized at 15 GPa and 1300 deg C, American Mineralogist, 98, 1585–1592 (2013)."
Sillimanite,Al₂ Si O₅,"Winter J. K., Ghose S., Thermal expansion and high-temperature crystal chemistry of the Al2SiO5 polymorphs T = 1000 deg C, American Mineralogist, 64, 573–586 (1979)."
Ilmenite,Fe Ti O₃,"Yamanaka T., Komatsu Y., Nomori H., Electron density distribution of FeTiO3 ilmenite under high pressure analyzed by MEM using single crystal diffraction intensities Sample: P = 8.2 GPa, Physics and Chemistry of Minerals, 34, 307–318 (2007)."
Phosphorus,P,"Crichton W. A., Mezouar M., Monaco G., Falconi S., Phosphorus: new in situ powder data from large-volume apparatus Sample: at P = 1.2 GPa and T = 1100 K, Powder Diffraction, 18, 155–158 (2003)."
Quartz,Si O₂,"Kihara K., An X-ray study of the temperature dependence of the quartz structure Sample: at T = 1012 K, European Journal of Mineralogy, 2, 63–77 (1990)."
Brucite,Mg O₂ H₂,"Mookherjee M., Stixrude L., High-pressure proton disorder in brucite Sample: P = 119.1 GPa Note: cell adjusted to match Figure 2, American Mineralogist, 91, 127–134 (2006)."
Caswellsilverite,Na Cr S₂,"Engelsman F. M. R., Wiegers G. A., Jellinek F., VanLaar B., Crystal structures and magnetic structures of some metal chromium(III) sulfides and selenides Sample: T = 4.2 K, Journal of Solid State Chemistry, 6, 574–582 (1973)."
Calcium-beta,Ca,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 450 C Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Lime,Ca O,"Fiquet G., Richet P., Montagnac G., High-temperature thermal expansion of lime, periclase, corundum and spinel Sample: Re wire, T = 2973 K, Physics and Chemistry of Minerals, 27, 103–111 (1999)."
Modderite,Co As,"Lyman P. S., Prewitt C. T., Room- and high-pressure crystal chemistry of CoAs and FeAs Note: anisoB's taken from ICSD Sample: Pna2_1 refinement, P = .0001 GPa, Acta Crystallographica, Section B, 40, 14–20 (1984)."
Neon,Ne,"Hemley R. J., Zha C. S., Jephcoat A. P., Mao H. K., Finger L. W., Cox D. E., X-ray diffraction and equation of state of solid neon to 110 GPa Sample: at T = 300 K and P = 110.4 GPa, Physical Review, B39, 11820–11827 (1989)."
Tungsten,W,"Dubrovinsky L. S., Saxena S. K., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 3190 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
Silicon,Si,"Olijnyk H., Sikka S. K., Holzapfel W. B., Structural phase transitions in Si and Ge under pressures up to 50 GPa Sample: at P = 43 GPa Note: phase VII, structure stable above 43 GPa, Physics Letters, 103A, 137–140 (1984)."
Tungsten,W,"Dubrovinsky L. S., Saxena S. K., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 3430 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
Sodium,Na,"Barrett C. S., X-ray study of the alkali metals at low temperatures Sample: at T = 5 K Note: lattice parameters are average of 5 values, Acta Crystallographica, 9, 671–677 (1956)."
Girvasite,Na Ca₂ Mg₃ P₃ C O₂₁ H₁₂,"Krivovichev S. V., Chernyatieva A. P., Britvin S. N., Yakovenchuk V. N., The crystal structure of girvasite, NaCa2Mg3(PO4)3(CO3)(H2O)6, a complex phosphate-carbonate hydrate based upon electroneutral heteropolyhedral layers Note: T = 173 K, Russian Geology and Geophysics, 56, 155–163 (2015)."
Magnesite,Mg C O₃,"Fiquet G., Guyot F., Kunz M., Matas J., Andrault D., Hanfland M., Structural refinements of magnesite at very high pressure Sample: P = 71.2 GPa, American Mineralogist, 87, 1261–1265 (2002)."
Akermanite,Mg Si₂ Ca₂ O₇,"Merlini M., Gemmi M., Hanfland M., Crichton W., High-pressure behavior of akermanite and gehlenite and phase stability of the normal structures in melelites Note: P = 15.7 GPa, American Mineralogist, 94, 704–709 (2009)."
Megawite,Ca Sn O₃,"Zhao J., Ross N. L., Angel R. J., Tilting and distortion of CaSnO3 perovskite to 7 GPa determined from single-crystal X-ray diffraction Note: P = 6.73 GPa, Physics and Chemistry of Minerals, 31, 299–305 (2004)."
Hedenbergite,Si₂ Fe Ca O₆,"Cameron M., Sueno S., Prewitt C. T., Papike J. J., High-temperature crystal chemistry of acmite, diopside, hedenbergite, jadeite, spodumene, and ureyite T = 1000 C pyroxene, American Mineralogist, 58, 594–618 (1973)."
Urea,C H₄ N₂ O,"Swaminathan S., Craven B. M., The crystal structure and molecular thermal motion of urea at 12, 60 and 123 K from neutron diffraction Note: neutron data, T = 12 K, Acta Crystallographica, Section B, 40, 300–306 (1984)."
Blodite,Na₂ Mg S₂ O₁₂ H₈,"Comodi P., Nazzareni S., Balic-Zunic T., Zucchini A., Hanfland M., The high-pressure behavior of bloedite: A synchrotron single-crystal X-ray diffraction study Note: P = 10.0 GPa, American Mineralogist, 99, 511–518 (2014)."
Ahrensite,Fe₂ Si O₄,"Yamanaka T., Crystal structures of Ni2SiO4 and Fe2SiO4 as a function of temperature and heating duration Sample: T = 700 C, Physics and Chemistry of Minerals, 13, 227–232 (1986)."
Antimony,Sb,"Aoki K., Fujiwara S., Kusakabe M., New phase transition into the b.c.c structure in antimony at high pressure Sample: at P = 28 GPa Note: cell parameters from ICSD Note: phase known as Sb(IV), Solid State Communications, 45, 161–163 (1983)."
Helium,He,"Schuch A. F., Grilly E. R., Mills R. L., Structure of the alpha and beta forms of solid He Sample: at T = 1.9 K & P = .01 GPa Note: structure known as the alpha form, Physical Review, 110, 775–775 (1958)."
Beryllium,Be,"Gordon P., A high temperature precision X-ray camera: some measurements of the thermal coefficients of expansion of beryllium Sample: at T = 1004 C, Journal of Applied Physics, 20, 908–917 (1949)."
Aegirine,Na Fe Si₂ O₆,"McCarthy A. C., Downs R. T., Thompson R. M., Redhammer G. J., In situ high-pressure single-crystal X-ray study of aegirine, NaFe3+Si2O6, and the role of M1 size in clinopyroxene compressibility Note: Pressure = 10.82 GPa, American Mineralogist, 93, 1829–1837 (2008)."
Fluoro-richterite,Si₈ Mg₅ (Na₂ Ca₂) K₂ O₂₂ F₂,"Cameron M., Sueno S., Papike J. J., Prewitt C. T., High temperature crystal chemistry of K and Na fluor-richterites Note: sample K, T = 800 C, American Mineralogist, 68, 924–943 (1983)."
Danalite,Be₃ Si₃ O₁₂ Fe₄ S,"Antao S. M., Hassan I., Parise J. B., The structure of danalite at high temperature obtained from synchrotron radiation and Rietveld refinements Sample: T = 1035 degrees C, The Canadian Mineralogist, 41, 1413–1422 (2003)."
