file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/minxpocc/Montmorillonite/Montmorillonite_0_Montmorillonite_298.00_1.01_.cif,Montmorillonite,Al₂ Si₄ O₁₂ Ca.₅,"Viani A., Gualtieri A., Artioli G., The nature of disorder in montmorillonite by simulation of X-ray powder patterns Note: Structural simulation model, American Mineralogist, 87, 966–975 (2002)."
/Volumes/Sajid's SSD/minxpocc/Ribbeite/Ribbeite_0_Ribbeite_298.00_1.01_.cif,Ribbeite,Mn₅ Si₂ O₁₀ H₂,"Freed R. L., Rouse R. C., Peacor D. R., Ribbeite, a second example of edge-sharing silicate tetrahedra in the leucophoenicite group, American Mineralogist, 78, 190–194 (1993)."
/Volumes/Sajid's SSD/minxpocc/Rubicline/Rubicline_0_Rubicline_298.00_1.01_.cif,Rubicline,Rb (Al Si₃) O₈,"Gasperin M., Structure cristalline de RbAlSi3O8 _cod_database_code 1001771, Acta Crystallographica, Section B, 27, 854–855 (1971)."
/Volumes/Sajid's SSD/minxpocc/Schwartzembergite/Schwartzembergite_0_Schwartzembergite_298.00_1.01_.cif,Schwartzembergite,Pb₁.₆₆₆ I.₃₃₄ Cl O₂,"Welch M. D., Hawthorne F. C., Cooper M. A., Kyser T. K., Trivalent iodine in the crystal structure of schwartzembergite, Pb5IO6H2Cl3, The Canadian Mineralogist, 39, 785–795 (2001)."
/Volumes/Sajid's SSD/minxpocc/Rickardite/Rickardite_0_Rickardite_298.00_1.01_.cif,Rickardite,Cu₁.₄ Te,"Forman S. A., Peacock M. A., Crystal structure of rickardite, Cu4-xTe2, American Mineralogist, 34, 441–451 (1949)."
/Volumes/Sajid's SSD/minxpocc/Srilankite/Srilankite_0_Srilankite_298.00_1.01_.cif,Srilankite,(Zr.₅₇₅ Ti.₄₂₅) O₂,"Troitzsch U., Christy A. G., Ellis D. J., The crystal structure of disordered (Zr,Ti)O2 solid solution Sample: XTi = 0.425, Physics and Chemistry of Minerals, 32, 504–514 (2005)."
/Volumes/Sajid's SSD/minxpocc/Murdochite/Murdochite_0_Murdochite_298.00_1.01_.cif,Murdochite,Pb Cu₅.₉₉₉ O₈,"Christ C. L., Clark J. R., The crystal structure of murdochite disordered model, American Mineralogist, 40, 907–916 (1955)."
/Volumes/Sajid's SSD/minxpocc/Spodumene-II/Spodumene-II_0_Spodumene-II_298.00_1.01_.cif,Spodumene-II,Li (Al Si₂) O₆,"Li C. T., Peacor D. R., The crystal structure LiAlSi2O6-II (""beta spodumene"") Note, y coordinate of Si1 altered according to Clarke and Spink (1969), Zeitschrift fur Kristallographie, 126, 46–65 (1968)."
/Volumes/Sajid's SSD/minxpocc/Bukovite/Bukovite_0_Bukovite_298.00_1.01_.cif,Bukovite,Tl (Cu₁.₅₅ Fe.₄₅) Se₂,"Makovicky E., Johan Z., Karup-Moller S., New data on bukovite, thalcusite, chalcothallite and rohaite, Neues Jahrbuch fur Mineralogie, Abhandlungen, 138, 122–146 (1980)."
/Volumes/Sajid's SSD/minxpocc/Pyrophanite-ecandrewsite/Pyrophanite-ecandrewsite_0_Pyrophanite-ecandrewsite_298.00_1.01_.cif,Pyrophanite-ecandrewsite,(Mn.₅ Zn.₅) Ti O₃,"Mitchell R. H., Liferovich R. P., The pyrophanite-ecandrewsite solid-solution: crystal structures of the Mn1-xZnxSiO3 series (0.1 <= x <= 0.8) Sample: x = .5, ilmenite structure, The Canadian Mineralogist, 42, 1871–1880 (2004)."
/Volumes/Sajid's SSD/minxpocc/Squawcreekite/Squawcreekite_0_Squawcreekite_298.00_1.01_.cif,Squawcreekite,(Fe.₅ Sb.₅) O₂,"Basso R., Cabella R., Lucchetti G., Marescotti P., Martinelli A., Structural studies on synthetic and natural Fe-Sb-oxides of MO2 type, Neues Jahrbuch fur Mineralogie, Monatshefte, 2003, 407–420 (2003)."
/Volumes/Sajid's SSD/minxpocc/Theoparacelsite/Theoparacelsite_0_Theoparacelsite_298.00_1.01_.cif,Theoparacelsite,Cu As.₆₆₇ O₃ H.₆₆₇,"Sarp H., Cerny R., Theoparacelsite, Cu3(OH)2As2O7, a new mineral: its description and crystal structure, Archives des Sciences, Geneve, 54, 7–14 (2001)."
/Volumes/Sajid's SSD/minxpocc/Florensovite/Florensovite_0_Florensovite_298.00_1.01_.cif,Florensovite,Cu (Cr₁.₅ Sb.₅) S₄,"Warczewski J., Kusz J., Filimonov D. S., Kessler Y. A., Koroleva L. I., Mikheev M. G., Odintsov A. G., Aminov T. G., Busheva E. V., Shabunina G. G., New antiferromagnetic semiconductor CuCr1.5Sb0.5S4, Journal of Magnetism and Magnetic Materials, 175, 299–303 (1997)."
/Volumes/Sajid's SSD/minxpocc/Paragersdorffite/Paragersdorffite_0_Paragersdorffite_298.00_1.01_.cif,Paragersdorffite,Ni (As₁.₂₃ S.₇₇),"Bayliss P., The crystal structure of disordered gersdorffite, American Mineralogist, 53, 290–293 (1968)."
/Volumes/Sajid's SSD/minxpocc/Pentlandite/Pentlandite_0_Pentlandite_298.00_1.01_.cif,Pentlandite,(Ni₄.₅ Fe₄.₅) S₈,"Pearson A. D., Buerger M. J., Confirmation of the crystal structure of pentlandite., American Mineralogist, 41, 804–805 (1956)."
/Volumes/Sajid's SSD/minxpocc/Kutnohorite/Kutnohorite_0_Kutnohorite_298.00_1.01_.cif,Kutnohorite,(Ca.₅ Mn.₅) C O₃,"Graf D. L., Crystallographic tables for the rhombohedral carbonates Note: Disordered model, American Mineralogist, 46, 1283–1316 (1961)."
/Volumes/Sajid's SSD/minxpocc/Tanteuxenite-(Ho)/Tanteuxenite-(Ho)_0_Tanteuxenite-(Ho)_298.00_1.01_.cif,Tanteuxenite-(Ho),Ho (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
/Volumes/Sajid's SSD/minxpocc/Schultenite/Schultenite_0_Schultenite_298.00_1.01_.cif,Schultenite,Pb H As O₄,"Wilson C. C., Cox P. J., Stewart N. S., Structure and disorder in schultenite, lead hydrogen arsenate, Journal of Crystallographic and Spectroscopic Research, 21, 589–593 (1991)."
/Volumes/Sajid's SSD/minxpocc/Osmiridium/Osmiridium_0_Osmiridium_298.00_1.01_.cif,Osmiridium,(Ir.₈₈ Os.₁₂),"Levy C., Picot P., Nouvelles donnees sur les composes iridium-osmium. Existence de l'osmium natif _cod_database_code 1008871, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 84, 312–317 (1961)."
/Volumes/Sajid's SSD/minxpocc/Tanteuxenite-(Yb)/Tanteuxenite-(Yb)_0_Tanteuxenite-(Yb)_298.00_1.01_.cif,Tanteuxenite-(Yb),Yb (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
/Volumes/Sajid's SSD/minxpocc/Alumino-magnesiohulsite/Alumino-magnesiohulsite_0_Alumino-magnesiohulsite_298.00_1.01_.cif,Alumino-magnesiohulsite,Fe.₇ Sn.₃ Al₁.₃ Mg₃.₇ B₂ O₁₀,"Pertsev N. N., Schreyer W., Armbruster T., Bernhardt H. J., Medenbach O., Alumino-magnesiohulsite, a new member of the hulsite group, in kotoite marble from east of Verkhoyansk, Sakha-Yakutia, Russia, European Journal of Mineralogy, 16, 151–161 (2004)."
/Volumes/Sajid's SSD/minxpocc/Braggite/Braggite_0_Braggite_298.00_1.01_.cif,Braggite,Pd (Pt₂.₅ Ni.₅) S₄,"Childs J. D., Hall S. R., The crystal structure of braggite, (Pt,Pd,Ni)S, Acta Crystallographica, Section B, 29, 1446–1451 (1973)."
