Filename,Exp_Density (g/cm³),Exp_a (Å),Exp_b (Å),Exp_c (Å),Exp_alpha (°),Exp_beta (°),Exp_gamma (°),Sim_Density (g/cm³),Sim_a (Å),Sim_b (Å),Sim_c (Å),Sim_alpha (°),Sim_beta (°),Sim_gamma (°)
0_Fluoro-magnesiohastingsite_298.00_1.01_,3.31225244390295,9.871,18.006,5.313999999999999,90.0,105.37,90.0,2.7540480226373374,10.498434872408032,19.150523585511237,5.651776204232169,90.0,105.36999999999604,90.0
0_Fluornatrocoulsellite_298.00_1.01_,3.0277772210879976,14.3512,14.3512,7.1756,59.867,59.867,59.867,2.835332933167422,14.668885675232094,14.668885675231904,7.334442837615975,59.86700000000258,59.86700000000258,59.86700000000263
0_Chromium_298.00_1.01_,3.637910592859434,16.0539,16.0539,7.3247,90.0,90.0,120.0,3.3324711936802816,16.530198248861087,16.530198248860884,7.542014283970289,90.0,90.0,120.0
0_Wonesite_298.00_1.01_,2.854675460666132,10.624,9.163,9.825,90.0,103.18,90.0,2.77665349944464,10.722626759941516,9.248063723771365,9.91620932948286,90.0,103.17999999999414,90.0
0_Clinopyroxene_298.00_1.01_,3.2235188104732666,9.794,8.906,10.637999999999998,90.0,105.9,90.0,3.129775836177416,9.890837017401276,8.994057022358117,10.743181967644986,90.0,105.90000000000998,90.0
0_Crichtonite_298.00_1.01_,4.565426249702813,9.148,9.148,9.148,69.078,69.078,69.078,4.363385103076685,9.28709229889072,9.28709229889072,9.287092298890627,69.07799999999703,69.07799999999703,69.07799999999703
0_Xenotime-(Y)_298.00_1.01_,4.262437500984723,13.7894,6.8947,12.0552,90.0,90.0,90.0,4.106394556195406,13.961909753707712,6.980954876853856,12.206014363416584,90.0,90.0,90.0
0_Mozartite_100.00_1.01_,3.7051503005333095,11.674,7.211,8.693,90.0,90.0,90.0,3.529287944460456,11.864788415421126,7.328849517183558,8.835069872816169,90.0,90.0,90.0
0_Omsite_298.00_1.01_,4.7525113881239,5.3506,5.350599999999999,19.5802,90.0,90.0,120.0,2.81325268369954,6.377081346420087,6.377081346420092,23.33654696280336,90.0,90.0,120.0
0_Millosevichite_298.00_1.01_,2.862036750434889,8.0246,8.0246,21.357,90.0,90.0,120.0,2.6645593035331605,8.218229048216447,8.218229048216374,21.872332301018893,90.0,90.0,120.0
0_Stephanite_298.00_1.01_,6.223467513751135,15.746,12.467,8.583,90.0,90.0,90.0,5.65322450873568,16.25934446770574,12.873443889171131,8.862819355158098,90.0,90.0,90.0
0_Arfvedsonite_298.00_1.01_,3.612967327958208,9.84,18.036,5.365,90.0,104.05,90.0,3.249999929339325,10.1936188324298,18.68415744529518,5.557801324795301,90.0,104.04999999999244,90.0
0_Tellurantimony_302.15_1.01_,6.505792779742672,8.528,8.528,30.458,90.0,90.0,120.0,5.949477977845171,8.786126033159034,8.786126033158968,31.37990463390667,90.0,90.0,120.0
0_Seinajokite_298.00_1.01_,8.154574393010604,11.6656,13.0752,9.5919,90.0,90.0,90.0,8.079590491331375,11.7015813664983,13.115529135512986,9.62148524802124,90.0,90.0,90.0
0_Spiroffite_298.00_1.01_,5.059164609564105,12.87,5.3813,11.888,90.0,98.22,90.0,4.777007299887839,13.11865288861604,5.485268592813507,12.117680306128008,90.0,98.21999999998724,90.0
0_Artroeite_298.00_1.01_,5.4375015715508885,12.54,6.821,10.114,90.68,107.69,104.46,5.137340415313775,12.779712648419746,6.951389152701043,10.307337617712689,90.67999999999404,107.68999999999949,104.46000000000842
0_Karelianite_298.00_1.01_,5.021830560037548,9.904,4.952,14.002,90.0,90.0,120.0,4.586106655602121,10.208241640881726,5.104120820440877,14.432128377991395,90.0,90.0,120.0
0_Johnsenite-(Ce)_298.00_1.01_,3.644360354222896,14.2675,14.267499999999998,30.0369,90.0,90.0,120.0,3.301756303372516,14.745028869791527,14.745028869791463,31.042225874122455,90.0,90.0,120.0
0_Tancoite_298.00_1.01_,2.7773720032570983,6.948,14.089,14.065,90.0,90.0,90.0,2.623183336106834,7.081586038079686,14.359882799439175,14.335421362347487,90.0,90.0,90.0
0_Stibivanite_298.00_1.01_,5.2667710353433135,17.989,9.5848,5.5,90.0,95.15,90.0,4.840833241558738,18.50220478246425,9.858242948410911,5.656908460923577,90.0,95.15000000000848,90.0
0_Steacyite_298.00_1.01_,3.3725185650862968,7.58,7.58,14.77,90.0,90.0,90.0,3.224980581426564,7.693901887730648,7.693901887730648,14.991943388097935,90.0,90.0,90.0
0_Alabandite_298.00_0.00_,4.052139393095682,10.449,10.449,10.449,90.0,90.0,90.0,4.216926695515759,10.311096207966449,10.311096207966449,10.311096207966449,90.0,90.0,90.0
0_Albite-Ge_298.00_1.01_,4.627702103259071,8.411,13.291,7.342,94.38,116.28,90.87,3.2308258120074527,9.483898965335891,14.986387010852496,8.278538366840541,94.38000000000386,116.28000000001512,90.86999999999615
0_Kozyrevskite_298.00_1.01_,4.9882979543633095,8.253,6.4122,13.789,90.0,90.0,90.0,4.732852620350846,8.398939601998288,6.52558833344647,14.032833899424975,90.0,90.0,90.0
0_Laachite_298.00_1.01_,5.501317898586311,12.670281,7.378349,11.525772,90.0,100.6695,90.0,4.882346186249837,13.184679517497193,7.677901297788651,11.99370479721364,90.0,100.66950000000642,90.0
