Filename,Exp_Density (g/cm³),Exp_a (Å),Exp_b (Å),Exp_c (Å),Exp_alpha (°),Exp_beta (°),Exp_gamma (°),Sim_Density (g/cm³),Sim_a (Å),Sim_b (Å),Sim_c (Å),Sim_alpha (°),Sim_beta (°),Sim_gamma (°)
0_Uranospathite_298.00_1.01_,2.447437042395828,30.02,7.0084,7.0492,90.0,90.0,90.0,2.355918531084252,30.404349190495573,7.098129276038301,7.139451642692925,90.0,90.0,90.0
0_Velikite_298.00_1.01_,5.696291947676512,11.084,11.084,10.908,90.0,90.0,90.0,5.368879087352455,11.304926848063449,11.304926848063449,11.125418807170378,90.0,90.0,90.0
0_Thorianite_298.00_1.01_,9.987975268886382,11.1994,11.1994,11.1994,90.0,90.0,90.0,9.778666003951592,11.278748194666411,11.278748194666411,11.278748194666411,90.0,90.0,90.0
0_Megakalsilite_298.00_1.01_,2.622232045741412,18.1111,18.1111,8.4619,90.0,90.0,120.0,2.4863453251469974,18.435306288268904,18.43530628826896,8.613376232294256,90.0,90.0,120.0
0_Benitoite_298.00_1.00_,3.678880903057113,13.286,6.643,9.766,90.0,90.0,120.0,3.524643236555676,13.477060344099622,6.7385301720497885,9.906440713568925,90.0,90.0,120.0
0_Bergslagite_298.00_1.01_,3.5099357228192942,9.7636,7.809,10.127,90.0,90.16,90.0,3.317144504960207,9.949254771557175,7.957488069061634,10.319564819488765,90.0,90.15999999999072,90.0
0_Maldonite_298.00_1.01_,15.988380380092584,15.884,15.884,7.942,90.0,90.0,90.0,14.689126569063369,16.339262995940103,16.339262995940103,8.169631497970052,90.0,90.0,90.0
0_Magnolite_298.00_1.01_,8.108726594094868,11.916,10.576,11.247,90.0,90.0,90.0,7.234447256130143,12.378525084092145,10.986512360637702,11.683557537830064,90.0,90.0,90.0
0_Plutonium-gamma_508.00_1.01_,17.511175541718455,9.4761,11.5364,20.324,90.0,90.0,90.0,18.374467789910703,9.325746980163798,11.353357126028854,20.00152822625873,90.0,90.0,90.0
0_Magnesiochloritoid_298.00_1.01_,3.1589231347328046,9.46,5.471,18.182,90.0,101.4,90.0,2.96083284753172,9.667241079703109,5.590853694191875,18.580314726338248,90.0,101.4000000000094,90.0
0_Palladium_298.00_1.01_,12.010207960756857,11.6694,11.6694,7.7796,90.0,90.0,90.0,11.304842689264404,11.907247760862312,11.907247760862312,7.93816517390819,90.0,90.0,90.0
