Filename,Exp_Density (g/cm³),Exp_a (Å),Exp_b (Å),Exp_c (Å),Exp_alpha (°),Exp_beta (°),Exp_gamma (°),Sim_Density (g/cm³),Sim_a (Å),Sim_b (Å),Sim_c (Å),Sim_alpha (°),Sim_beta (°),Sim_gamma (°)
0_Cadmoselite_298.00_1.01_,5.665046118050508,12.897000000000002,12.897,14.02,90.0,90.0,120.0,5.226294903539143,13.248266842936802,13.248266842936864,14.401853232377562,90.0,90.0,120.0
0_Pseudowollastonite_298.00_1.01_,2.9047847343620443,6.8394,11.8704,19.6313,90.0,90.667,90.0,2.7875001526260075,6.934014369256118,12.034611832736426,19.90287397829889,90.0,90.66700000000316,90.0
0_Magnesite_298.00_1.01_,3.0094379872792185,9.266,4.633,15.016,90.0,90.0,120.0,2.861032113687749,9.42352494064464,4.711762470322302,15.271276765456555,90.0,90.0,120.0
0_Barroisite_298.00_1.01_,3.0556613048968315,9.9,18.04,5.33,90.0,106.75,90.0,3.067793596193521,9.886946506161708,18.016213633450462,5.322972209883062,90.0,106.75,90.0
0_Gottlobite_298.00_1.01_,3.2255836530326105,7.51,9.004,11.896,90.0,90.0,90.0,2.7648261196280246,7.906513215363759,9.479393474185787,12.52408538082112,90.0,90.0,90.0
0_Belovite-(La)_298.00_1.01_,4.16559143052028,9.6641,9.6641,14.365,90.0,90.0,120.0,3.980188303468933,9.81189820987111,9.81189820987104,14.58469156825758,90.0,90.0,120.0
0_Hanjiangite_298.00_1.01_,3.7846850454997982,5.205,9.033,32.077,90.0,93.49,90.0,3.4590154065461447,5.36352003459997,9.308103068691947,33.053915878935655,90.0,93.48999999999394,90.0
0_Chabourneite_298.00_1.01_,4.879456726951859,16.32,21.318,8.543,83.98000000000002,89.05999999999999,83.2,4.288283155105964,17.038239951331438,22.25620093642653,8.918975729425414,83.97999999999585,89.0599999999979,83.20000000000732
0_Pucherite_298.00_1.01_,6.634358133290664,10.664,10.12,12.02,90.0,90.0,90.0,6.394832256774055,10.79587923647483,10.245151713533923,12.168648576746913,90.0,90.0,90.0
0_Iron_298.00_0.99_,7.878342009947903,8.598,8.598,8.598,90.0,90.0,90.0,7.9542709833498835,8.570557262158763,8.570557262158763,8.570557262158763,90.0,90.0,90.0
0_Cookeite_298.00_1.01_,2.65679347349226,5.158,8.94,28.498,90.0,96.6,90.0,2.554236680338452,5.226138391337786,9.0580994995269,28.874465272653246,90.0,96.59999999999158,90.0
0_Maleevite_298.00_1.01_,3.788351119406271,8.141,8.176,9.038,90.0,90.0,90.0,3.595708371669499,8.283883251584399,8.319497538994415,9.196626560351302,90.0,90.0,90.0
0_Hellandite-(Y)_298.00_1.01_,3.5068096499090884,18.99,4.715,10.3,90.0,111.4,90.0,3.391145788904561,19.20355336576969,4.768022860432046,10.415829366373194,90.0,111.4000000000104,90.0
0_Khibinskite_298.00_1.01_,3.289331077965214,9.54,14.26,11.2,90.0,90.0,116.517,3.161900505948597,9.666497847706722,14.449083784937034,11.348509003597206,90.0,90.0,116.51699999999502
0_Tellurium_298.00_1.01_,6.243167249047064,13.368000000000002,13.368,11.842,90.0,90.0,120.0,5.793557203162496,13.705536263624426,13.705536263624536,12.141005418450035,90.0,90.0,119.99999999999996
0_Krinovite_298.00_1.01_,3.437362525899493,10.238,10.642,8.77,105.15,96.5,125.14999999999998,3.278348143303946,10.400941244678712,10.81137104179243,8.909577526453802,105.1500000000096,96.5,125.1500000000118
0_Uricite_298.00_1.01_,1.8519598678344835,14.464,7.403,6.208,90.0,65.1,90.0,1.6945604193549273,14.89900318929691,7.625644400605968,6.394704908680472,90.0,65.09999999999877,90.0
0_Rosenbergite_298.00_1.01_,2.2953139780035707,7.715,7.715,7.296,90.0,90.0,90.0,1.0411755708570691,10.049460246501472,10.049460246501472,9.503676209782906,90.0,90.0,90.0
0_Pertoldite_298.00_1.01_,4.281606534726571,9.974,9.974,11.304,90.0,90.0,120.0,4.010148927600569,10.194179734420558,10.194179734420436,11.553539975725815,90.0,90.0,120.0
0_Lotharmeyerite_298.00_1.01_,4.284849790676854,9.0727,12.506,7.415,90.0,116.739,90.0,3.9288366677632554,9.338886411177745,12.872916933017724,7.632550700329926,90.0,116.7389999999954,90.0
0_Herderite_298.00_1.01_,3.0396509891222823,9.7446,7.6769,9.5266,90.0,90.667,90.0,2.9128550574242205,9.884003744104009,7.786723759118967,9.662885092110512,90.0,90.66700000000316,90.0
0_Harmunite_298.00_1.01_,4.818081529770859,9.2183,6.035,10.6934,90.0,90.0,90.0,4.579485803958974,9.3756965144832,6.138043724429258,10.875982893589551,90.0,90.0,90.0
0_Ferro-axinite_298.00_1.01_,3.335406773530164,7.1437,9.1898,8.9529,91.857,98.188,77.359,3.1926902863063336,7.248613583087162,9.324762952791074,9.08438379943458,91.85700000000546,98.188000000009,77.35899999999704
0_Paseroite_298.00_1.01_,4.843589636529011,10.3894,10.3894,20.8709,90.0,90.0,120.0,4.702661620636395,10.49216881789557,10.492168817895736,21.07734866127193,90.0,90.0,120.0
0_Cinnabar_298.00_1.01_,8.17089821346406,12.45,12.45,9.51,90.0,90.0,120.0,6.976517322247973,13.124097693942456,13.12409769394245,10.024913178264535,90.0,90.0,120.0
0_Plutonium_593.15_1.01_,16.2593020667004,13.910999999999998,13.910999999999998,9.274,90.0,90.0,90.0,13.402361993277191,14.836704503326434,14.836704503326434,9.891136335551048,90.0,90.0,90.0
0_Alfredopetrovite_298.00_1.01_,2.500525358134124,8.808,8.817999999999998,10.721,90.0,90.0,120.0,2.351332164862586,8.990556447277005,9.00076370936528,10.943205684747584,90.0,90.0,120.0
0_Grigorievite_298.00_1.01_,3.837367128738966,8.0217,9.6858,13.095,103.645,102.369,106.281,3.699039706314988,8.120488660018603,9.805082347034707,13.256267250451009,103.64500000000687,102.36900000000516,106.28100000000548
0_Apophyllite-(KF)_298.00_1.01_,2.5691369253440643,8.9639,8.9639,15.754,90.0,90.0,90.0,2.0891593629788368,9.603985052359748,9.603985052359748,16.878945605693218,90.0,90.0,90.0
0_Potassic-ferri-ferrorichterite_298.00_1.01_,3.4218826949493093,10.1448,18.1841,5.2962,90.0,104.41500000000002,90.0,3.2436567005658725,10.32732161232902,18.51126182189448,5.391487335700772,90.0,104.4149999999909,90.0
0_Ferritaramite_298.00_1.01_,3.781496618828898,9.923,18.134,5.352,90.0,104.84,90.0,0.0007564631022705,2271.4766013413864,4151.058821800282,1225.1277607960292,90.0,104.84000000001129,90.0
0_Dickite_298.00_1.01_,2.5594406049995686,5.15,8.94,14.736,90.0,103.58,90.0,2.271606413384116,5.359309713336202,9.303345405286526,15.334910278781177,90.0,103.5800000000052,90.0
0_Weberite_298.00_1.01_,4.660364929321644,7.051,9.968,7.285,90.0,90.0,90.0,0.5178174408120805,15.375497234725326,21.736343275527148,15.885760509853268,90.0,90.0,90.0
0_Melanotekite_298.00_1.01_,9.768593704563912,6.9788,11.0164,10.0881,90.0,90.0,90.0,5.985437683139259,8.217578135625091,12.971875934731054,11.878797212987855,90.0,90.0,90.0
0_Szenicsite_298.00_1.01_,4.279023638379735,8.5201,12.545,6.0794,90.0,90.0,90.0,3.974470181981396,8.732459787119405,12.85767866919548,6.230926401076678,90.0,90.0,90.0
0_Corundum_298.00_1.01_,3.984097930635081,9.5204,4.7602,12.9933,90.0,90.0,120.0,3.839830202679603,9.63817026633885,4.81908513316946,13.154031103905403,90.0,90.0,120.0
0_Stenhuggarite_298.00_1.01_,4.565890955560753,16.144,16.144,10.706,90.0,90.0,90.0,4.203224535036524,16.59561722438111,16.59561722438111,11.005492938814596,90.0,90.0,90.0
0_Fluorapophyllite-(Na)_298.00_1.01_,2.377844835026041,8.875,8.881,15.79,90.0,90.0,90.0,2.263963501052117,9.021407449850956,9.02750642953514,16.05048153612893,90.0,90.0,90.0
0_Potassic-hastingsite_298.00_1.01_,3.802682544239655,9.9587,18.2524,5.3409,90.0,105.02,90.0,3.404694233641779,10.332597065013454,18.93768209399305,5.541422842793781,90.0,105.02000000000704,90.0
0_Widenmannite_298.00_1.01_,8.540909227900734,9.954,9.3869,8.9597,90.0,90.0,90.0,5.897968606694113,11.26671013378492,10.624822318146151,10.14128418582212,90.0,90.0,90.0
0_Connellite_298.00_1.01_,3.739661413198584,15.78,15.78,9.1,90.0,90.0,120.0,0.0008146300170466,603.3597456790518,603.3597456790555,347.94510048665074,90.0,90.0,120.0
0_Lazurite_298.00_1.01_,4.052753563041281,9.105,9.105,9.105,90.0,90.0,90.0,0.0009593396546061,273.78058212734067,273.78058212734067,273.78058212734067,90.0,90.0,90.0
0_Kutnohorite_298.00_1.01_,3.3931918667451653,9.7594,4.8797,16.367,90.0,90.0,120.0,3.5185237361797075,9.642122382582295,4.821061191291128,16.17031959297971,90.0,90.0,120.0
0_Nyboite_298.00_1.01_,3.119170121237268,9.8425,18.157,5.3381,90.0,103.979,90.0,2.9602764577459384,10.015556750102254,18.4762472859133,5.431957682267687,90.0,103.97899999999484,90.0
0_Insizwaite_298.00_1.01_,13.525369904259549,13.4044,13.4044,13.4044,90.0,90.0,90.0,12.580140405532072,13.732054238216556,13.732054238216556,13.732054238216556,90.0,90.0,90.0
0_Ferriannite-(Cs)_298.00_1.01_,3.621896575073383,10.974,9.506,10.826,90.0,99.83,90.0,3.699291888478841,10.896945090287783,9.439252781873073,10.749984285352122,90.0,99.83000000000476,90.0
